,lats,lngs,city,country,ID,temperature,humidity,cloudiness,wind_speed,date
0,3.3062431439688993,61.60952215040649,victoria,BN,1733782,299.36,79,75,2.6,09/12/2018
1,-83.60754925410852,95.76827313378834,albany,US,5106834,292.57,100,90,1.5,09/12/2018
3,-82.69660410236294,-79.34789936085826,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
4,4.471689861985212,170.0294040084222,butaritari,KI,2110227,302.1,100,48,3.71,09/12/2018
5,65.85349550786543,133.63084387832754,verkhoyansk,RU,2013465,279.25,63,0,1.66,09/12/2018
6,-32.9304502633375,-76.66400630136224,constitucion,MX,4011743,292.15,59,40,4.1,09/12/2018
7,-46.15302153066607,-148.7948102104458,mataura,NZ,6201424,289.3,50,0,9.26,09/12/2018
8,76.85454898502437,-143.4840126028319,aklavik,CA,5882953,277.15,60,90,3.1,09/12/2018
10,-10.346555736337564,29.856909568131243,luwingu,ZM,908913,288.55,56,8,3.21,09/12/2018
11,39.35968925540624,123.11310530023769,zhuanghe,CN,1784055,296.85,94,0,4.56,09/12/2018
12,-3.4499063503171072,-123.65257465411062,atuona,PF,4020109,299.5,100,0,7.06,09/12/2018
13,-23.45353270462931,131.66956238058407,yulara,AU,6355222,301.15,17,0,3.1,09/12/2018
14,-73.72819480227449,144.66779819566153,hobart,AU,2163355,292.15,39,40,9.8,09/12/2018
15,-2.1740532624652786,-8.662705901764724,harper,US,4696310,296.64,81,40,2.96,09/12/2018
16,86.46356379106271,-59.22516276767092,narsaq,GL,3421719,275.15,74,0,2.1,09/12/2018
17,12.41279094476586,-75.40764882087778,puerto colombia,CO,3671497,301.15,94,40,5.1,09/12/2018
19,16.16747578252364,-127.91814161344874,guerrero negro,MX,4021858,294.8,83,0,4.76,09/12/2018
20,49.32443750604202,-118.67942066451994,grand forks,US,5059429,289.6,68,1,7.2,09/12/2018
22,-84.43178800230771,-18.75922733938316,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
23,-75.5941579046474,-143.26082153359283,mataura,NZ,6201424,289.3,50,0,9.26,09/12/2018
25,76.5654182766445,127.06881252762889,tiksi,RU,2015306,279.65,84,0,1.86,09/12/2018
26,-77.61214852119812,171.25226810531524,bluff,AU,2175403,301.45,30,0,2.26,09/12/2018
27,43.33523812533676,93.06407926904984,hami,CN,1529484,284.85,80,92,2.76,09/12/2018
28,34.1213848707969,-22.044861027351658,vila franca do campo,PT,3372472,294.15,83,20,2.1,09/12/2018
29,-62.935152108745626,34.98101120120495,port alfred,ZA,964432,287.05,100,0,3.01,09/12/2018
30,-36.00724425913018,-123.12592843457436,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
31,-25.82284595372451,-55.024331768545764,santa rita,VE,3753107,292.9,97,0,1.06,09/12/2018
32,55.09007960848436,-124.36931252062192,fort saint james,CA,5881688,275.65,71,0,3.11,09/12/2018
34,31.87778606728513,-111.1882067877791,green valley,US,4913271,290.55,86,1,2.56,09/12/2018
35,-66.88555857056744,-40.19530465284598,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
36,78.79599492511267,-43.399940556486825,ilulissat,GL,3423146,273.15,99,88,2.6,09/12/2018
37,-89.31743590195887,-43.861233372526925,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
38,-45.65803017854026,-71.02831584222783,coihaique,CL,3894426,280.38,57,75,3.6,09/12/2018
40,-86.659399414206,119.72548367512377,albany,US,5106834,292.57,100,90,1.5,09/12/2018
41,-6.281655019367548,26.363676488856896,kabalo,CD,215668,291.45,94,20,1.51,09/12/2018
42,-44.55940346731447,109.26007267389389,busselton,AU,2075265,289.4,97,80,8.86,09/12/2018
43,-84.39013265023331,14.070692894465338,bredasdorp,ZA,1015776,286.15,71,36,3.6,09/12/2018
44,-4.430863922853177,-40.018826152631846,santa quiteria,ES,2514891,287.4,91,8,1.06,09/12/2018
45,-0.8528215139102855,-67.6559271377898,sao gabriel da cachoeira,BR,3662342,298.4,90,32,1.31,09/12/2018
46,22.131127589149386,-64.31063835715574,road town,VG,3577430,302.05,79,20,3.6,09/12/2018
47,-48.641063165495865,-123.6439377583097,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
48,-27.425477017043832,-100.09046904414089,pisco,PE,3932145,295.15,30,90,1.5,09/12/2018
49,55.903546495430874,-47.5292875064477,nanortalik,GL,3421765,275.4,99,0,0.26,09/12/2018
50,56.60926143190761,-72.61839388971164,chapais,CA,5919850,288.15,82,90,2.6,09/12/2018
51,13.176450961364935,57.935791920626684,salalah,OM,286621,298.15,83,75,2.6,09/12/2018
52,-86.92693015720519,-82.23989790537736,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
53,-77.38762352035033,1.362259843019018,hermanus,ZA,3366880,284.9,87,56,4.41,09/12/2018
54,-72.88797631646094,80.90929162842241,busselton,AU,2075265,289.4,97,80,8.86,09/12/2018
55,-79.75768221238542,131.8771207633785,new norfolk,AU,2155415,292.15,39,40,9.8,09/12/2018
56,-38.56280129786741,150.5495595702385,lakes entrance,AU,2160735,289.2,69,0,0.86,09/12/2018
57,84.17843797525325,105.30770969186023,khatanga,RU,2022572,278.15,100,76,3.36,09/12/2018
58,50.18980310719837,88.79126228285202,kosh-agach,RU,1502422,268.25,62,0,1.21,09/12/2018
59,-71.47819371398316,-119.11765230546463,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
60,-10.356393447666562,-88.80689542482881,sechura,PE,3691954,292.1,89,0,5.01,09/12/2018
61,-8.887397684244547,139.27243684560494,merauke,ID,2082539,302.75,70,80,8.06,09/12/2018
